,text,senti,Sentiment_Score
0,Happy to have met you and the brilliant Nambi Narayanan Ji This film covers an important topic which more people must know about Our scientists and technicians have made great sacrifices for our country glimpses of which I could see in the clips of Rocketry ,positive,1
1,The strength and faith of the people of the country is presenting an example to the world today This construction work not only shows Indias growing strength in the field of stateoftheart engineering and technology but also the countrys transformation of accomplishment with determination There is also an example of work culture ,positive,1
2,A new format several interesting questions on a wide range of subjects and a memorable discussion with our brave ExamWarriors parents and teachers Watch ‘Pariksha Pe Charcha’ at  PM on th AprilPPC ,positive,1
3,My best wishes to President Alberto Fernández of Argentina for a quick recovery from COVID ,positive,1
4,Reviewed the COVID and vaccination related situation across the country Reiterated the importance of the five fold strategy of Testing Tracing Treatment Covidappropriate behaviour and Vaccination as an effective way to fight the global pandemic ,positive,1
5,Anguished by the demise of former Union Minister Shri Digvijaysinh Zala Ji He played an active role in Gujarat and national politics He will be remembered for his community service and passion towards the environment Condolences to his family Om Shanti,positive,1
6,Greetings on Easter On this day we remember the pious teachings of Jesus Christ His emphasis on social empowerment inspires millions across the world,positive,1
7,Didis party is now saying that she will now contest the Lok Sabha elections from Varanasi This makes two things clear For one Didi has accepted her defeat in BengalThe second is that Didi is now looking to find a place for herself outside Bengal ,positive,1
8,My thoughts are with the families of those martyred while fighting Maoists in Chhattisgarh The sacrifices of the brave martyrs will never be forgotten May the injured recover at the earliest,negative,-1
9,On May  West Bengal will not only have a double engine government but a double benefit direct benefit government will also be formed ,positive,1
10,The Trinamool government itself has proved to be a disaster for West BengalHumanity says that whenever someone is in trouble the hand of help should be carried forward but the people of Trinamool have made trouble the only means of earning ,negative,-1
11,There is a big reason for Didis wrath  her year report card ,neutral,0
12,Speaking at a rally in Sonarpur ,neutral,0
13,Euphoric atmosphere in Tarakeshwar Watch ,positive,1
14,Some people have made such an announcement which clearly shows that they have given up in the electionNot only that by talking about how the next government will be formed what the people of that government must have worn they have insulted Assam and its culture ,negative,-1
15,The NDA government believes that the development of the people of any region is not through discrimination but in harmony ,positive,1
16,We are hard working people people working day and night to serve the society people working sincerely for developmentThe people of Assam are seeing today that everyones support everybodys development everyones faith is in our policy and also in our intentions ,positive,1
17,In the last  years the NDA government of double engine has tried to provide double benefit to the people of AssamToday the entire Assam believes that the NDA government is necessary to maintain this Momentum ,positive,1
18,Addressing a rally in Tamulpur Watch ,neutral,0
19,Thank you Thiruvananthapuram ,positive,1
20,BJP stands with Kerala BJP stands with Kerala’s great culture ,positive,1
21,Seven deadly sins of UDF and LDF ,negative,-1
22,Kerala politics is witnessing a historic churn a sort of churn that was seen in the ’s under Lok Nayak JP ,positive,1
23,A Government that cares for everyone ,positive,1
24,NDA’s vision for coastal development ,positive,1
25,Addressing a rally in wonderful city of Thiruvananthapuram ,positive,1
26,Speaking at the rally in Kanyakumari Here is my speech ,neutral,0
27,On the way to the rally in Kanyakumari caught a glimpse of the majestic Vivekananda Rock Memorial and the grand Thiruvalluvar Statue ,positive,1
28,Kerala is voting NDA this time Watch from Pathanamthitta ,neutral,0
29,DMK and Congress like being selfproclaimed custodians of Tamil culture Their actions and words are contradictory ,positive,1
30,NDA’s focus sectors for Madurai and the surrounding areas are Infrastructure Irrigation Investment ,neutral,0
31,MGR had a special relation with southern Tamil Nadu We are inspired by his vision and will work to fulfil his dreams ,positive,1
32,Addressing a rally in the great city of Madurai ,positive,1
33,Good Friday reminds us about the struggles and sacrifices of Jesus Christ A perfect embodiment of compassion He was devoted to serving the needy and healing the sick,positive,1
34,Prayed at the Madurai Meenakshi Amman Temple ,neutral,0
35,Delighted to be back in West Bengal Watch from Jaynagar ,positive,1
36,The party whose leaders had thrown Kokrajhar into the fire of violence today the Congress has given their hands and their fate to those peopleToday the Congress is dreaming of gaining power in Assam with the help of those who were saved by the Congress for their vote bank ,positive,1
37,Our mantra for sustainable development of Bodoland is  Peace Progress and Protection Protection of the culture identity language and traditions of Bodo society is our first resolve and we consider it our responsibility to fulfill it ,positive,1
38,This election of Assam is between Mahajhoot of Mahajot and Mahavikas of Double Engine ,neutral,0
39,Kokrajhar is firmly with NDA Watch my speech ,neutral,0
40,Popular across generations a body of work few can boast of diverse roles and an endearing personalitythat’s Shri  Ji for you It is a matter of immense joy that Thalaiva has been conferred with the Dadasaheb Phalke Award Congratulations to him,positive,1
41,I bow to His Holiness Dr Sree Sree Sree Sivakumara Swamigalu on his Jayanti His innumerable efforts to serve society and care for the poor are widely remembered We are deeply inspired by his noble thoughts and ideals ,positive,1
42,Greetings on the special occasion of Utkala Dibasa I bow to the unique culture of Odisha The people of Odisha have contributed immensely to India’s progress May the people of the state be blessed with happiness and good health,positive,1
43,We request the people of Bengal whose constituencies are going to the polls today to cast their votes in record numbers,neutral,0
44,Urging the people of West Bengal in whose seats there is polling taking place today to vote in record numbers,neutral,0
45,The second phase of elections has been held in Assam today We urge all eligible voters at this stage to exercise their voting right and strengthen this celebration of democracy,positive,1
46,Second phase of the Assam polls takes place today Requesting all eligible voters of this phase to strengthen the festival of democracy by exercising their franchise,positive,1
47,Spoke to former PM Shri  Ji and enquired about his and his wife’s health Praying for their quick recovery,positive,1
48,NDA’s vision  BEST Puducherry ,positive,1
49,I’ve seen many elections but the  Puducherry elections are special ,positive,1
50,An assurance to the hardworking wealth creators of the Kongu region ,positive,1
51,NDA has given immense importance to empowering India’s Nari Shakti ,positive,1
52,Antiwomen Congress and DMK have launched their outdated G missile This alliance can never respect women ,negative,-1
53,BJP will not be silent when Kerala’s culture is being attacked Lathis of LDF do not scare our Karyakartas ,negative,-1
54,Time has come for FAST development of Kerala ,neutral,0
55,Kerala politics is changing The young and first time voters are supporting NDA’s development agenda ,positive,1
56,Puducherry is going to vote NDA Watch ,neutral,0
57,Speaking at a rally in Dharapuram Tamil Nadu ,neutral,0
58,Praying for the good health and speedy recovery of Dr Farooq Abdullah Ji Also praying for your and the entire family’s good health  ,positive,1
59,The fixed match of UDF and LDF is going to be rejected by Kerala Watch from Palakkad ,negative,-1
60,Happy Rajasthan Day to all the brothers and sisters of Rajasthan who are famous for their rich culture and glorious heritage,positive,1
61,The new edition of ExamWarriors has been enriched with valuable inputs from students parents and teachers Substantive new parts have been added that would especially interest the parents and teachers Let us all help our youngsters as they appear for their examinations ,positive,1
62,How to make exam preparation funIs there anything interesting we can do sitting at home while preparing There is a solution to thisan all new ExamWarriors module on the NaMo App It has many interactive activities for students and parents  ,positive,1
63,As the exam season begins I am delighted to share that the updated edition of ExamWarriors is now available The book has new Mantras and a range of interesting activities The book reaffirms the need to remain stress free before an exam ,positive,1
64,Happy Holi to all of you May this festival of joy exhilaration joy and exhilaration infuse new vigor and new energy into everyones life,positive,1
65,Life is all about innovation and learning new things In that spirit our farmers are making commendable efforts to further honey bee farming MannKiBaat ,positive,1
66,The sporting successes of our Nari Shakti makes us all proud MannKiBaat ,positive,1
67,During today’s MannKiBaat programme a very interesting comment was shared about a unique form of tourism Do hear this ,positive,1
68,The largest vaccination drive in the world is taking place in India contributing to the spirited fight against COVID MannKiBaat ,negative,-1
69,India’s Amrut Mahotsav inspires each of us to think about our duties as citizens of this great nation MannKiBaat ,positive,1
70,Diverse topics inspiring life journeys and many anecdotes… On the th MannKiBaat episode here is how this radio programme has connected us in a very special way ,positive,1
71,Today is the th episode of MannKiBaat Tune in ,neutral,0
72,I thank the people of Bangladesh for the sincerity they have shown during my visit I also thank Prime Minister Sheikh Hasina for her warm hospitality I believe this visit will further strengthen our bilateral ties,positive,1
73,I would like to thank the people of Bangladesh for their affection during my visit I would also like to thank PM Sheikh Hasina and the Bangladesh Government for the warm hospitality I am sure this visit will lead to further strengthening of bilateral ties between our nations,positive,1
74,India and Bangladesh signed MoUs in key sectors such as disaster management sports and youth affairs trade technology and more These will add strength to our development partnership and benefit the people of our nations especially the youth,positive,1
75,Had a wonderful meeting with President Abdul Hamid We exchanged views on a wide range of subjects pertaining to IndiaBangladesh cooperation ,positive,1
76,The meeting with Prime Minister Sheikh Hasina has been fruitful We have reviewed in detail all aspects of IndiaBangladesh relations and discussed ways to deepen economic and cultural ties in the future ,neutral,0
77,Had a productive meeting with PM Sheikh Hasina We reviewed the full range of IndiaBangladesh relations and discussed ways to deepen economic and cultural linkages in the times to come ,neutral,0
78,The Continuing Legacy of Gurudev Prime Minister  and Prime Minister Sheikh Hasina jointly inaugurated extende…,neutral,0
79,Prime Minister  and Prime Minister Sheikh Hasina jointly inaugurated three border haats ,neutral,0
80,Furthering our cooperation in Power amp Energy Prime Minister  and Prime Minister Sheikh Hasina jointly laid the…,positive,1
81,“VaccineMaitri” to overcome Covid  million doses of Made in India Covid vaccines as grant from India to Bangladesh wer…,positive,1
82,Survey Santu Niramaya Gifting of  ambulances from India to bolster health capacity of Bangladesh was announced in the pr…,neutral,0
83, years of IndiaBangladesh diplomatic relations In the presence of Prime Minister  and Prime Minister Sheik…,neutral,0
84,I will always remember the experience of visiting Orakandi ThakurbariThis extremely sacred place is closely associated with the great Matua community ,positive,1
85,My visit to the Orakandi Thakurbari is an experience I will remember for life This is a very sacred place which is closely associated with the Matua Community ,neutral,0
86,My colleague in Parliament Shri Shantanu Thakur is making commendable efforts to spread the noble message of Sri Sri Harichand Thakur Ji At Orakandi met Shantanu Ji and other members of the Matua community ,positive,1
87,Blessed moments from Orakandi ,positive,1
88,I thank the Prime Minister Sheikh Hasinaji and Sheikh Rehanaji for being specially present in Tungipara this morning ,positive,1
89,I would like to thank PM Sheikh Hasina Ji and Sheikh Rehana Ji for the special gesture of being at Tungipara earlier today ,positive,1
90,I have paid homage to Bangabandhu in Tungipara ,neutral,0
91,Paid homage to Bangabandhu at Tungipara ,neutral,0
92,I prayed to Mother Kali for the welfare of the whole world May peace and joy prevail everywhere ,positive,1
93,Glimpses from the memorable visit to the Jeshoreshwari Kali Temple ,neutral,0
94,Speaking at Orakandi ,neutral,0
95,Feeling blessed after praying at the Jeshoreshwari Kali Temple ,positive,1
96,At the Jeshoreshwari Kali Temple ,neutral,0
97,Today Phase  of the West Bengal Assembly elections begin I would request all those who are voters in the seats polling today to exercise their franchise in record numbers,neutral,0
98,The first phase of elections begin in Assam Urging those eligible to vote in record numbers I particularly call upon my young friends to vote,positive,1
99,Voting for the first phase of the West Bengal Assembly elections has started today I urge the voters in the constituencies where voting is taking place to exercise their voting right in record numbers,neutral,0
100,The first phase of elections has started in Assam All eligible voters are urged to cast their votes in record numbers I urge all young friends to vote,positive,1
101,Presented the Gandhi Peace Prize which has been conferred on Bangabandhu to Sheikh Hasina Ji and Sheikh Rehana Ji ,positive,1
102,Handing over of Gandhi Peace Prize to Bangabandhu to Sheikh Hasinaji and Sheikh Rehanaji ,positive,1
103,Here are some glimpses of the captivating cultural program in Dhaka on the occasion of  years of independence of Bangladesh and the birth centenary of Bangabandhu ,neutral,0
